PhysicalActivityDays,BMIPercentile,Sex,Grade
2.0,50.27447135,Male,11th grade
0.0,97.8304981,Female,11th grade
7.0,67.35690955,Female,11th grade
0.0,99.47646663,Female,11th grade
5.0,54.75617318,Male,11th grade
0.0,89.90649736,Male,10th grade
0.0,30.89048164,Male,10th grade
4.0,34.10784442,Male,11th grade
1.0,98.13332826,Male,10th grade
5.0,93.60689746,Female,10th grade
7.0,27.81918727,Female,10th grade
0.0,73.91347781,Male,10th grade
3.0,58.167767,Male,10th grade
3.0,44.70874303,Male,10th grade
2.0,81.5523064,Male,10th grade
6.0,98.17687957,Male,10th grade
2.0,81.82099807,Female,10th grade
5.0,31.315611,Female,10th grade
4.0,42.35560365,Female,9th grade
2.0,59.47446449,Female,9th grade
0.0,52.82514857,Male,9th grade
0.0,51.9110774,Female,9th grade
0.0,99.50570658,Female,9th grade
0.0,78.28265536,Male,9th grade
3.0,69.54558992,Female,9th grade
7.0,63.68390278,Male,9th grade
0.0,32.79325237,Female,9th grade
1.0,89.82805567,Female,9th grade
5.0,50.5995942,Female,9th grade
0.0,87.50167897,Male,9th grade
7.0,23.70077074,Male,9th grade
0.0,57.38131801,Female,9th grade
2.0,59.1349812,Female,9th grade
0.0,97.15410227,Female,9th grade
0.0,51.81370585,Female,9th grade
0.0,53.65951294,Female,9th grade
1.0,95.81029039,Female,9th grade
0.0,97.10273335,Female,11th grade
4.0,45.26162121,Female,10th grade
5.0,76.3857129,Male,12th grade
6.0,63.31177575,Male,12th grade
0.0,74.41919519,Male,12th grade
0.0,94.89062216,Female,12th grade
0.0,35.18872425,Female,9th grade
6.0,70.2948453,Male,12th grade
7.0,66.5318241,Male,12th grade
0.0,46.4073505,Male,12th grade
0.0,99.49405991,Male,12th grade
5.0,79.09665201,Male,12th grade
1.0,84.57523065,Male,12th grade
6.0,66.83362843,Female,10th grade
0.0,79.36575134,Male,11th grade
0.0,96.87222741,Male,11th grade
5.0,79.21086246,Female,11th grade
2.0,93.38873457,Female,11th grade
0.0,95.04052672,Female,11th grade
0.0,90.98298351,Female,11th grade
6.0,92.39337265,Male,11th grade
4.0,83.7161669,Male,11th grade
0.0,43.14984367,Female,11th grade
7.0,15.29718496,Female,11th grade
0.0,54.40385458,Female,12th grade
3.0,99.81899915,Male,12th grade
6.0,72.06573405,Male,12th grade
0.0,16.03372613,Male,12th grade
2.0,83.90660452,Female,12th grade
7.0,52.2899712,Female,12th grade
0.0,93.56257408,Male,12th grade
0.0,51.44659085,Male,12th grade
0.0,76.13913858,Male,10th grade
7.0,32.3855029,Female,11th grade
3.0,13.16010488,Female,10th grade
4.0,90.70482965,Female,10th grade
2.0,98.46004967,Female,10th grade
1.0,98.1620765,Female,10th grade
4.0,87.32744126,Female,10th grade
1.0,62.75875953,Male,10th grade
3.0,92.09238408,Female,10th grade
7.0,72.40481299,Female,10th grade
3.0,32.35454194,Male,10th grade
7.0,47.11027439,Male,10th grade
0.0,73.65945206,Female,10th grade
5.0,75.94273757,Female,11th grade
0.0,45.84835334,Female,11th grade
0.0,91.41797055,Female,11th grade
0.0,95.26327504,Female,11th grade
0.0,95.77021638,Female,11th grade
1.0,97.402769,Female,11th grade
0.0,70.67451976,Female,11th grade
0.0,98.86075815,Female,11th grade
5.0,16.34633408,Female,11th grade
1.0,5.221698862,Female,11th grade
0.0,85.29469889,Female,11th grade
2.0,79.65116681,Female,11th grade
7.0,87.66542983,Female,11th grade
0.0,50.95276905,Female,11th grade
0.0,94.34347293,Male,10th grade
0.0,84.67610222,Female,10th grade
4.0,72.13833601,Male,11th grade
4.0,71.04906399,Male,11th grade
2.0,43.14984367,Female,11th grade
0.0,75.73919519,Female,9th grade
2.0,56.95841633,Female,9th grade
0.0,89.0685033,Female,9th grade
2.0,56.12875598,Female,10th grade
2.0,69.82409651,Male,10th grade
4.0,97.02213328,Male,10th grade
4.0,89.45507565,Female,10th grade
0.0,30.14155853,Male,10th grade
2.0,90.445849,Male,10th grade
0.0,83.32303085,Female,10th grade
0.0,44.3547711,Female,10th grade
2.0,36.09086758,Male,9th grade
4.0,32.79325237,Female,9th grade
0.0,89.46125467,Female,9th grade
5.0,55.06915825,Male,9th grade
5.0,12.7812687,Male,9th grade
6.0,97.56644906,Male,9th grade
7.0,90.64159581,Male,9th grade
3.0,93.57446282,Female,9th grade
2.0,88.67030744,Female,9th grade
0.0,69.8037989,Female,9th grade
0.0,91.74867665,Female,9th grade
0.0,62.47075585,Female,9th grade
7.0,62.19393818,Female,10th grade
0.0,95.96968872,Female,11th grade
0.0,52.00817272,Female,11th grade
2.0,92.17328593,Female,12th grade
3.0,29.36620695,Male,12th grade
7.0,74.42424318,Male,11th grade
3.0,93.8171533,Male,10th grade
2.0,77.43318673,Male,9th grade
4.0,31.08786145,Male,9th grade
5.0,52.41472276,Male,9th grade
2.0,51.05664155,Female,12th grade
1.0,47.49270385,Female,12th grade
3.0,87.32319147,Female,11th grade
4.0,66.84791246,Male,12th grade
6.0,96.0698293,Male,12th grade
0.0,96.53495056,Male,12th grade
1.0,72.59307595,Male,12th grade
2.0,57.23154694,Male,12th grade
0.0,96.66907244,Male,12th grade
5.0,95.06926956,Male,12th grade
7.0,95.67864261,Male,12th grade
0.0,7.539064645,Male,12th grade
7.0,65.88575167,Female,12th grade
1.0,99.25075881,Female,12th grade
5.0,98.60384523,Male,12th grade
7.0,95.5627807,Male,11th grade
3.0,93.82384404,Male,11th grade
3.0,64.26150224,Male,11th grade
3.0,95.75831461,Male,11th grade
6.0,49.31286868,Male,11th grade
7.0,80.48537598,Male,11th grade
3.0,98.44322633,Male,11th grade
5.0,98.20741258,Male,11th grade
1.0,97.37935273,Female,11th grade
3.0,82.52624851,Female,11th grade
0.0,98.04338304,Male,9th grade
7.0,72.15157479,Male,9th grade
4.0,78.34535674,Male,9th grade
5.0,62.89553884,Male,9th grade
4.0,51.96787195,Female,9th grade
4.0,79.08474787,Female,9th grade
2.0,98.89868045,Female,9th grade
1.0,97.46205604,Female,9th grade
1.0,17.61177125,Female,9th grade
3.0,98.1460872,Female,9th grade
2.0,97.94473227,Female,9th grade
1.0,95.23628309,Female,9th grade
3.0,69.86952348,Male,9th grade
5.0,82.18267485,Male,10th grade
6.0,41.16151426,Male,10th grade
3.0,84.69244832,Male,10th grade
0.0,0.127623738,Male,10th grade
4.0,15.04494477,Female,10th grade
1.0,94.54022686,Female,10th grade
1.0,66.08825915,Female,10th grade
5.0,84.68486522,Female,10th grade
0.0,25.72210511,Female,11th grade
7.0,68.36945909,Female,10th grade
2.0,97.43232997,Male,9th grade
0.0,88.19401121,Female,10th grade
2.0,93.76714147,Female,9th grade
2.0,52.13911665,Male,9th grade
3.0,97.02213328,Male,10th grade
2.0,14.02708141,Male,9th grade
0.0,55.41633193,Male,9th grade
4.0,51.74396482,Male,9th grade
2.0,54.82320838,Female,9th grade
1.0,44.29519256,Female,10th grade
2.0,0.351195405,Male,9th grade
0.0,48.82355055,Female,9th grade
1.0,24.19083228,Male,9th grade
0.0,56.12271161,Female,9th grade
2.0,97.76629197,Male,9th grade
0.0,84.46222906,Female,9th grade
1.0,26.68936925,Male,10th grade
2.0,95.21258449,Male,9th grade
1.0,96.55158594,Female,9th grade
6.0,80.3927078,Male,9th grade
2.0,26.68936925,Male,9th grade
1.0,96.43759959,Male,9th grade
2.0,50.280802,Female,11th grade
2.0,79.73361306,Female,9th grade
0.0,84.25378028,Female,12th grade
2.0,57.95910476,Female,12th grade
2.0,81.37814313,Male,12th grade
2.0,55.15612985,Female,12th grade
0.0,80.1306852,Female,12th grade
2.0,1.223660196,Male,12th grade
2.0,97.17383472,Male,12th grade
2.0,68.13816439,Male,12th grade
2.0,19.65942265,Male,12th grade
2.0,68.08272065,Male,12th grade
2.0,36.04892235,Female,12th grade
2.0,36.97117788,Male,12th grade
0.0,91.16514243,Female,12th grade
1.0,84.57262784,Female,12th grade
2.0,97.36508485,Male,12th grade
2.0,38.77914215,Female,12th grade
0.0,95.0797674,Male,12th grade
2.0,60.52327398,Female,12th grade
2.0,62.22547319,Male,12th grade
2.0,71.04906399,Male,12th grade
2.0,67.24002801,Female,12th grade
2.0,31.17365695,Female,12th grade
0.0,21.67031209,Male,12th grade
1.0,82.04981347,Male,12th grade
2.0,73.69856523,Female,Other
2.0,48.88422202,Female,12th grade
2.0,25.54426508,Male,11th grade
0.0,65.72450251,Female,10th grade
4.0,47.57670396,Female,10th grade
0.0,32.35454194,Male,10th grade
3.0,48.32468565,Male,11th grade
2.0,84.25378028,Female,12th grade
6.0,72.37341512,Female,11th grade
2.0,42.28388655,Female,12th grade
7.0,40.5504485,Male,11th grade
3.0,31.07256054,Male,10th grade
2.0,18.46382222,Female,11th grade
0.0,44.48848749,Male,11th grade
2.0,17.10726474,Male,12th grade
1.0,55.87295671,Male,11th grade
1.0,71.73217243,Female,11th grade
2.0,64.30723303,Female,11th grade
4.0,77.20364961,Female,11th grade
2.0,77.04936127,Female,11th grade
1.0,83.65146996,Female,11th grade
0.0,70.31917473,Female,11th grade
1.0,74.73837182,Female,11th grade
0.0,29.93458107,Female,11th grade
1.0,52.22408981,Female,11th grade
2.0,24.60515146,Female,11th grade
2.0,57.28656414,Female,11th grade
0.0,20.67025402,Female,11th grade
0.0,38.66815976,Female,11th grade
1.0,9.166422739,Female,11th grade
2.0,39.83290293,Male,9th grade
0.0,41.29710255,Male,9th grade
0.0,94.85089769,Male,9th grade
2.0,74.84675066,Male,9th grade
2.0,97.23364986,Male,9th grade
7.0,65.10834035,Male,9th grade
7.0,93.4942442,Male,9th grade
3.0,95.76721077,Male,9th grade
1.0,99.61995365,Female,9th grade
0.0,10.55214112,Male,9th grade
1.0,55.13320687,Male,9th grade
7.0,39.03729713,Male,9th grade
0.0,75.08579851,Male,9th grade
0.0,67.85584641,Female,9th grade
0.0,56.12271161,Female,9th grade
2.0,72.77371208,Female,9th grade
4.0,75.42161697,Female,9th grade
1.0,71.40661886,Female,9th grade
3.0,80.55410129,Male,9th grade
5.0,78.9594291,Male,9th grade
0.0,30.14155853,Male,9th grade
5.0,8.572778087,Male,9th grade
7.0,52.16728949,Male,9th grade
7.0,60.66321529,Male,10th grade
7.0,55.18146429,Male,10th grade
1.0,63.00335407,Male,10th grade
2.0,28.86485531,Male,10th grade
6.0,10.18249348,Male,10th grade
1.0,15.52368583,Male,10th grade
1.0,51.77995186,Male,10th grade
2.0,41.73731334,Male,10th grade
7.0,2.25e-06,Male,10th grade
0.0,73.34615457,Female,11th grade
7.0,89.96770983,Male,10th grade
0.0,1.581399578,Female,10th grade
3.0,27.29502022,Female,10th grade
7.0,28.54864874,Female,10th grade
3.0,42.9070731,Female,10th grade
3.0,28.36149003,Female,10th grade
6.0,76.12920997,Female,10th grade
2.0,87.16521278,Male,10th grade
0.0,71.24517665,Female,11th grade
0.0,50.642691,Female,11th grade
2.0,90.7689509,Female,11th grade
7.0,97.31596569,Male,11th grade
0.0,2.702715023,Male,11th grade
2.0,93.16003384,Male,11th grade
6.0,2.313488775,Male,12th grade
0.0,99.17328495,Male,11th grade
1.0,63.47778733,Male,11th grade
1.0,13.08187583,Male,11th grade
0.0,45.28645414,Male,11th grade
3.0,98.91230885,Male,11th grade
0.0,95.11584958,Male,11th grade
0.0,96.02199137,Male,11th grade
0.0,67.24002801,Female,12th grade
2.0,29.11078354,Female,Other
0.0,91.15175113,Female,11th grade
0.0,7.402370058,Female,11th grade
1.0,2.909291727,Female,12th grade
1.0,35.53356949,Female,11th grade
3.0,30.97488641,Female,10th grade
7.0,50.14851643,Male,12th grade
7.0,27.25450767,Male,11th grade
5.0,35.87780684,Male,12th grade
0.0,84.57523065,Male,12th grade
1.0,96.60449181,Female,11th grade
2.0,0.012937873,Male,12th grade
2.0,64.9623322,Male,12th grade
7.0,57.23154694,Male,12th grade
7.0,84.60323997,Male,11th grade
4.0,63.24664717,Male,12th grade
7.0,39.39239835,Female,12th grade
0.0,98.40769524,Male,11th grade
2.0,90.445849,Male,12th grade
7.0,35.70830555,Male,12th grade
6.0,29.93458107,Female,11th grade
0.0,3.624612031,Female,11th grade
0.0,57.16624079,Female,12th grade
0.0,0.099974269,Female,11th grade
1.0,13.16010488,Female,11th grade
3.0,17.74504799,Female,11th grade
0.0,78.66079606,Female,11th grade
0.0,99.00676486,Female,11th grade
2.0,65.01459821,Female,11th grade
1.0,11.7578857,Male,11th grade
3.0,31.95457566,Male,11th grade
3.0,84.68839156,Male,11th grade
0.0,6.550834406,Male,11th grade
3.0,83.86652792,Male,11th grade
7.0,11.9858923,Male,11th grade
5.0,80.72244171,Male,12th grade
1.0,74.0489888,Male,12th grade
7.0,13.71140227,Male,12th grade
7.0,69.13085778,Male,12th grade
0.0,62.69018255,Male,12th grade
0.0,59.36187206,Male,12th grade
5.0,62.69018255,Male,12th grade
7.0,42.73610117,Male,12th grade
5.0,63.45918088,Male,12th grade
0.0,97.91131841,Male,12th grade
7.0,89.43535191,Male,12th grade
0.0,55.96980611,Male,12th grade
5.0,88.10799552,Female,12th grade
7.0,86.2705902,Female,12th grade
1.0,71.891691,Female,12th grade
7.0,16.34633408,Female,12th grade
3.0,20.41671842,Female,10th grade
0.0,87.16138715,Female,10th grade
7.0,91.62141608,Female,10th grade
7.0,40.79455963,Female,10th grade
1.0,22.66659312,Female,9th grade
6.0,47.57875662,Female,9th grade
0.0,93.57446282,Female,9th grade
7.0,59.47446449,Female,9th grade
0.0,60.06952126,Female,9th grade
0.0,26.20415662,Female,9th grade
3.0,97.21755336,Female,9th grade
2.0,3.768482946,Female,9th grade
5.0,82.23608164,Female,9th grade
1.0,95.36539337,Female,9th grade
0.0,92.91381168,Female,9th grade
4.0,89.56517468,Female,9th grade
5.0,51.28932037,Female,9th grade
1.0,52.55947074,Female,9th grade
0.0,40.8934694,Male,9th grade
7.0,99.34120298,Male,9th grade
0.0,97.23548996,Male,9th grade
7.0,63.8076547,Male,9th grade
5.0,63.80400179,Male,9th grade
4.0,41.79514038,Male,9th grade
4.0,69.13113635,Male,9th grade
6.0,84.84665926,Male,10th grade
7.0,93.25956317,Male,9th grade
7.0,73.87758954,Male,10th grade
7.0,19.12650374,Female,12th grade
7.0,89.82347469,Male,12th grade
4.0,97.6817734,Male,12th grade
4.0,66.84791246,Male,12th grade
6.0,99.5327482,Male,12th grade
4.0,42.58443965,Male,12th grade
7.0,87.79133475,Male,12th grade
7.0,62.05752496,Male,12th grade
3.0,23.56629787,Male,12th grade
2.0,66.67372723,Male,12th grade
0.0,54.17779991,Male,12th grade
7.0,1.398242214,Male,12th grade
0.0,49.07165942,Female,12th grade
0.0,83.50451958,Female,12th grade
0.0,4.861742324,Female,11th grade
5.0,5.750020485,Female,12th grade
5.0,77.20364961,Female,11th grade
0.0,94.68291579,Female,12th grade
0.0,91.34293389,Female,12th grade
0.0,74.41879277,Female,12th grade
7.0,95.68925253,Female,12th grade
0.0,37.18895874,Female,12th grade
0.0,93.13918876,Female,12th grade
0.0,38.60495566,Female,12th grade
5.0,68.28334828,Female,12th grade
0.0,34.21869952,Female,12th grade
2.0,93.11718517,Female,12th grade
0.0,45.17144028,Female,11th grade
0.0,5.901546091,Female,11th grade
3.0,75.19253869,Female,12th grade
0.0,88.71558532,Female,11th grade
3.0,84.25452085,Female,11th grade
0.0,98.62953019,Female,11th grade
2.0,30.98255809,Female,11th grade
0.0,95.12950717,Female,11th grade
6.0,96.96756116,Female,11th grade
7.0,49.88343043,Female,11th grade
0.0,56.29565269,Female,11th grade
1.0,79.66153065,Female,11th grade
0.0,80.77690249,Male,11th grade
0.0,86.74519316,Male,11th grade
3.0,16.03372613,Male,11th grade
0.0,93.20315098,Male,11th grade
7.0,94.34347293,Male,11th grade
0.0,98.89321467,Male,11th grade
4.0,97.1843072,Male,11th grade
0.0,93.20315098,Male,11th grade
0.0,88.21172206,Male,11th grade
7.0,72.82376292,Male,11th grade
0.0,16.73999365,Male,11th grade
0.0,58.167767,Male,11th grade
0.0,58.40828186,Male,11th grade
0.0,53.70643103,Male,11th grade
1.0,75.2628239,Male,11th grade
0.0,36.8619196,Male,10th grade
2.0,92.0955763,Male,10th grade
7.0,81.88920139,Male,10th grade
2.0,90.49868957,Male,11th grade
7.0,94.25302614,Male,10th grade
5.0,99.05950452,Male,12th grade
6.0,82.18267485,Male,10th grade
7.0,85.72136293,Male,10th grade
0.0,53.24794021,Male,10th grade
3.0,66.54483144,Male,11th grade
7.0,51.61765844,Male,10th grade
4.0,98.3498431,Male,10th grade
0.0,66.71134102,Male,10th grade
3.0,54.40819125,Male,10th grade
4.0,98.40917302,Male,11th grade
7.0,55.68597478,Male,10th grade
5.0,81.79666847,Male,10th grade
0.0,86.71569586,Male,10th grade
0.0,34.20904036,Male,10th grade
0.0,91.17759683,Female,10th grade
3.0,74.51763205,Female,10th grade
5.0,89.17900904,Female,10th grade
4.0,58.09322257,Female,10th grade
7.0,95.68357951,Female,10th grade
0.0,33.66779009,Female,10th grade
2.0,91.59481599,Male,9th grade
7.0,78.31747374,Male,9th grade
6.0,48.66934789,Male,9th grade
5.0,73.71563971,Male,9th grade
2.0,74.61766754,Male,9th grade
0.0,54.38998582,Male,9th grade
2.0,87.0929914,Male,9th grade
5.0,83.86594073,Male,10th grade
0.0,52.55947074,Female,9th grade
0.0,64.48479627,Female,9th grade
0.0,72.01453889,Female,9th grade
1.0,78.10688836,Female,9th grade
0.0,97.34193033,Female,10th grade
6.0,62.95970228,Female,10th grade
3.0,45.26162121,Female,9th grade
0.0,81.37544358,Female,9th grade
0.0,89.78692125,Female,9th grade
0.0,93.58027647,Female,9th grade
7.0,29.14256978,Male,10th grade
0.0,41.49272193,Male,10th grade
5.0,58.62211115,Male,10th grade
0.0,83.63410521,Male,10th grade
0.0,0.06888692,Female,10th grade
0.0,70.57774417,Female,10th grade
0.0,2.880528749,Female,10th grade
0.0,63.79127104,Female,10th grade
7.0,92.08608045,Female,10th grade
4.0,17.74504799,Female,10th grade
6.0,76.16361312,Female,10th grade
0.0,10.89712829,Female,10th grade
1.0,80.06893476,Female,10th grade
4.0,46.07997675,Female,11th grade
0.0,10.51649662,Female,10th grade
3.0,70.07852644,Female,10th grade
0.0,47.52350758,Female,10th grade
0.0,50.87045271,Female,10th grade
2.0,96.52128507,Female,10th grade
3.0,96.43961705,Female,11th grade
3.0,73.02521942,Female,11th grade
7.0,74.57239196,Female,11th grade
0.0,54.15385884,Female,11th grade
0.0,70.40604141,Female,11th grade
0.0,49.20619657,Female,11th grade
7.0,78.81888198,Male,11th grade
2.0,86.1407343,Male,11th grade
7.0,91.99165166,Male,11th grade
0.0,67.52127307,Male,11th grade
0.0,31.69146229,Male,12th grade
4.0,66.71134102,Male,11th grade
5.0,88.70562889,Male,11th grade
0.0,33.79539728,Male,11th grade
7.0,54.36795158,Male,11th grade
2.0,54.63077194,Male,11th grade
4.0,25.61355879,Male,11th grade
0.0,9.846546229,Male,11th grade
7.0,87.3464244,Male,11th grade
7.0,85.95780965,Male,11th grade
7.0,99.02969173,Male,11th grade
3.0,12.16060398,Male,11th grade
0.0,48.88422202,Female,12th grade
3.0,56.7549496,Female,12th grade
5.0,40.05564445,Male,12th grade
2.0,12.35928755,Male,12th grade
5.0,97.91385948,Male,12th grade
2.0,6.550834406,Male,12th grade
3.0,2.56681879,Male,12th grade
4.0,59.36187206,Male,12th grade
1.0,59.36187206,Male,12th grade
3.0,92.98915736,Male,12th grade
3.0,31.78001777,Male,12th grade
1.0,77.46994059,Male,12th grade
0.0,10.1969851,Female,12th grade
1.0,85.170329,Female,12th grade
2.0,89.32589276,Female,12th grade
1.0,22.86186612,Female,12th grade
0.0,83.45551184,Female,12th grade
0.0,70.40604141,Female,12th grade
0.0,43.19281437,Female,12th grade
0.0,82.97393233,Female,12th grade
0.0,65.80904497,Female,12th grade
4.0,61.4875819,Male,9th grade
4.0,63.14078915,Male,9th grade
7.0,29.16525856,Male,9th grade
1.0,68.26816807,Female,9th grade
0.0,61.87699019,Female,9th grade
5.0,74.26220694,Female,9th grade
0.0,58.8744133,Female,9th grade
0.0,62.14172597,Female,9th grade
0.0,93.79543511,Female,9th grade
4.0,59.82202109,Female,9th grade
4.0,88.43534523,Female,9th grade
0.0,74.63209612,Male,9th grade
5.0,69.13113635,Male,9th grade
5.0,55.56148302,Male,9th grade
0.0,64.22682777,Male,10th grade
6.0,97.35259162,Male,9th grade
4.0,75.91512943,Male,9th grade
1.0,24.19083228,Male,9th grade
7.0,47.7153177,Male,9th grade
5.0,26.68936925,Male,9th grade
2.0,91.21895864,Male,9th grade
0.0,40.43646118,Female,12th grade
5.0,87.60528516,Female,11th grade
2.0,65.93660653,Female,11th grade
0.0,80.06893476,Female,11th grade
2.0,49.7850387,Female,10th grade
0.0,31.47383063,Female,11th grade
0.0,85.88884383,Male,11th grade
7.0,1.93e-07,Male,11th grade
7.0,69.13085778,Male,Other
1.0,25.87739237,Male,11th grade
0.0,0.083081072,Male,12th grade
3.0,98.38097797,Male,11th grade
0.0,98.47769537,Male,12th grade
4.0,94.37294768,Male,12th grade
1.0,67.00407505,Female,10th grade
3.0,97.26692919,Female,11th grade
0.0,44.31506726,Female,11th grade
0.0,9.60866394,Female,11th grade
0.0,55.49638039,Female,11th grade
4.0,49.54884889,Female,9th grade
4.0,90.43366411,Female,11th grade
0.0,49.99841183,Female,11th grade
3.0,95.23595706,Male,11th grade
6.0,58.3822996,Male,11th grade
7.0,87.8987,Male,11th grade
0.0,38.28337982,Male,11th grade
0.0,96.35800023,Male,11th grade
2.0,72.03344585,Male,12th grade
2.0,93.94948189,Female,12th grade
0.0,84.25378028,Female,12th grade
0.0,35.04876286,Female,12th grade
7.0,92.62027788,Male,10th grade
0.0,12.35928755,Male,12th grade
0.0,18.94191976,Male,11th grade
7.0,11.79596595,Male,12th grade
0.0,83.81890611,Male,11th grade
0.0,62.32337542,Female,11th grade
0.0,96.15514454,Female,10th grade
2.0,68.87790029,Female,11th grade
1.0,93.60197238,Female,12th grade
0.0,60.75926332,Female,12th grade
0.0,92.63103874,Female,11th grade
4.0,28.91092809,Female,11th grade
2.0,84.98548123,Female,11th grade
1.0,58.69524984,Female,12th grade
2.0,80.48219497,Female,12th grade
0.0,99.4071271,Female,12th grade
1.0,95.58149175,Female,12th grade
1.0,75.83754765,Female,12th grade
0.0,97.80218106,Male,12th grade
0.0,99.38690541,Male,11th grade
0.0,38.28337982,Male,11th grade
0.0,95.0351687,Male,10th grade
0.0,96.70162307,Male,9th grade
5.0,38.28337982,Male,10th grade
2.0,73.05961868,Male,11th grade
4.0,60.50842316,Male,10th grade
6.0,52.82514857,Male,10th grade
1.0,52.22408981,Female,12th grade
7.0,61.78523973,Female,11th grade
0.0,57.31734359,Female,11th grade
0.0,1.09e-06,Male,11th grade
0.0,95.16751397,Male,11th grade
5.0,73.25197415,Male,11th grade
7.0,18.12467121,Male,11th grade
3.0,56.04225389,Male,11th grade
7.0,6.550834406,Male,11th grade
3.0,97.21392691,Male,9th grade
1.0,79.92192149,Male,10th grade
4.0,79.52427005,Male,12th grade
4.0,96.62100237,Female,12th grade
0.0,55.39209463,Female,12th grade
1.0,52.00817272,Female,10th grade
1.0,84.68486522,Female,9th grade
0.0,36.41834536,Female,11th grade
0.0,61.69382467,Female,11th grade
5.0,98.50220887,Female,9th grade
7.0,60.51961267,Female,10th grade
0.0,84.50209709,Female,10th grade
0.0,18.46382222,Female,11th grade
2.0,94.98242996,Female,10th grade
1.0,84.50209709,Female,11th grade
0.0,38.13156894,Female,10th grade
1.0,82.96083327,Female,9th grade
7.0,50.87045271,Female,9th grade
4.0,68.07050984,Female,9th grade
2.0,49.51043175,Male,10th grade
5.0,98.39425472,Male,10th grade
5.0,83.15630999,Male,9th grade
6.0,93.95733265,Male,10th grade
4.0,46.65281051,Male,12th grade
0.0,47.13837771,Male,12th grade
0.0,90.37184496,Male,9th grade
2.0,62.0396385,Male,11th grade
2.0,87.18889527,Male,12th grade
0.0,93.82451004,Male,9th grade
2.0,69.73373776,Male,10th grade
0.0,77.72521417,Male,10th grade
